hero,region,division,pickrate,winrate,banrate
cassidy,americas,grandmaster,26.5,48.6,18.7
dmon,americas,grandmaster,15.9,53.6,23.0
domina,americas,grandmaster,2.4,49.8,0.2
doomfist,americas,grandmaster,9.9,50.6,12.4
dva,americas,grandmaster,5.1,45.7,9.0
echo,americas,grandmaster,4.6,52.9,0.2
emre,americas,grandmaster,5.1,48.7,0.1
freja,americas,grandmaster,7.9,50.8,59.1
genji,americas,grandmaster,10.5,48.1,0.4
hanzo,americas,grandmaster,3.8,46.3,0.4
hazard,americas,grandmaster,8.4,52.3,8.2
illari,americas,grandmaster,6.0,49.4,0.5
jetpack-cat,americas,grandmaster,9.2,54.3,77.2
junker-queen,americas,grandmaster,4.0,52.2,0.7
junkrat,americas,grandmaster,4.2,52.9,1.3
juno,americas,grandmaster,15.9,50.3,0.2
kiriko,americas,grandmaster,54.3,47.9,17.1
lifeweaver,americas,grandmaster,4.8,50.2,0.3
lucio,americas,grandmaster,15.4,50.9,1.9
mauga,americas,grandmaster,6.3,48.1,42.2
mei,americas,grandmaster,3.4,49.9,0.6
mercy,americas,grandmaster,9.1,49.3,3.4
mizuki,americas,grandmaster,11.5,47.4,14.5
moira,americas,grandmaster,10.3,49.8,0.4
orisa,americas,grandmaster,7.8,45.8,5.2
pharah,americas,grandmaster,5.1,52.1,2.7
ramattra,americas,grandmaster,4.7,48.8,3.1
reaper,americas,grandmaster,8.7,49.1,2.2
reinhardt,americas,grandmaster,4.9,48.5,1.6
roadhog,americas,grandmaster,5.2,49.9,18.2
shion,americas,grandmaster,19.3,49.9,0.9
sierra,americas,grandmaster,1.6,47.1,0.1
sigma,americas,grandmaster,8.0,48.6,4.6
sojourn,americas,grandmaster,23.8,47.9,1.4
soldier-76,americas,grandmaster,10.6,50.5,0.7
sombra,americas,grandmaster,1.5,47.0,0.2
symmetra,americas,grandmaster,2.4,52.5,0.2
torbjorn,americas,grandmaster,4.0,46.8,0.3
tracer,americas,grandmaster,29.9,51.5,11.1
vendetta,americas,grandmaster,2.8,50.0,0.3
venture,americas,grandmaster,1.6,49.7,0.2
widowmaker,americas,grandmaster,7.4,48.9,7.5
winston,americas,grandmaster,4.9,48.6,0.3
wrecking-ball,americas,grandmaster,5.2,47.9,3.6
wuyang,americas,grandmaster,9.0,50.8,0.1
zarya,americas,grandmaster,7.3,51.1,19.2
zenyatta,americas,grandmaster,7.2,51.4,1.1
ana,europe,bronze,13.0,48.8,3.9
anran,europe,bronze,8.6,53.0,24.5
ashe,europe,bronze,10.2,50.2,0.9
baptiste,europe,bronze,4.8,46.3,0.1
bastion,europe,bronze,18.6,49.5,4.9
brigitte,europe,bronze,2.6,50.8,0.2
cassidy,europe,bronze,9.4,50.8,0.7
dmon,europe,bronze,9.6,56.1,15.8
domina,europe,bronze,4.9,51.9,6.2
doomfist,europe,bronze,3.9,50.0,17.1
dva,europe,bronze,11.7,45.9,3.8
echo,europe,bronze,4.3,46.6,0.8
emre,europe,bronze,7.0,48.5,0.3
freja,europe,bronze,7.2,49.8,1.6
genji,europe,bronze,8.1,51.9,6.1
hanzo,europe,bronze,9.1,50.1,1.4
hazard,europe,bronze,1.7,50.6,0.7
illari,europe,bronze,5.8,47.3,0.1
jetpack-cat,europe,bronze,6.2,50.5,44.7
junker-queen,europe,bronze,2.9,51.7,0.3
junkrat,europe,bronze,14.6,50.7,8.8
juno,europe,bronze,25.6,50.6,0.7
kiriko,europe,bronze,29.0,48.2,0.8
lifeweaver,europe,bronze,11.0,47.9,0.2
lucio,europe,bronze,7.1,46.5,0.5
mauga,europe,bronze,6.0,46.9,26.3
mei,europe,bronze,7.4,53.3,6.1
mercy,europe,bronze,27.1,48.2,8.4
mizuki,europe,bronze,15.1,53.5,0.8
moira,europe,bronze,36.5,51.9,17.6
orisa,europe,bronze,14.9,46.8,14.5
pharah,europe,bronze,5.3,50.1,21.2
ramattra,europe,bronze,9.9,50.5,10.0
reaper,europe,bronze,7.1,52.1,2.2
reinhardt,europe,bronze,11.6,53.0,8.9
roadhog,europe,bronze,5.2,47.5,8.5
shion,europe,bronze,11.4,48.5,1.5
sierra,europe,bronze,17.9,49.9,26.6
sigma,europe,bronze,9.9,50.9,5.3
sojourn,europe,bronze,12.0,44.9,0.4
soldier-76,europe,bronze,16.1,48.6,0.8
sombra,europe,bronze,2.5,48.8,65.1
symmetra,europe,bronze,2.8,50.0,1.6
torbjorn,europe,bronze,6.0,49.0,0.6
tracer,europe,bronze,4.0,45.8,6.3
vendetta,europe,bronze,3.3,53.6,4.3
venture,europe,bronze,1.7,53.9,0.3
widowmaker,europe,bronze,5.5,46.4,18.6
winston,europe,bronze,2.9,48.0,3.3
wrecking-ball,europe,bronze,2.4,40.2,7.0
wuyang,europe,bronze,5.5,47.8,0.2
zarya,europe,bronze,2.4,52.1,43.6
zenyatta,europe,bronze,10.5,52.7,0.8
ana,europe,silver,18.4,48.4,8.0
anran,europe,silver,8.5,51.3,29.6
ashe,europe,silver,11.0,50.7,1.1
baptiste,europe,silver,5.3,46.3,0.1
bastion,europe,silver,19.1,48.3,7.1
brigitte,europe,silver,3.1,50.2,0.1
cassidy,europe,silver,11.6,48.6,1.2
dmon,europe,silver,9.9,54.4,13.0
domina,europe,silver,4.9,49.8,5.6
doomfist,europe,silver,4.1,52.6,18.5
dva,europe,silver,7.5,44.4,2.7
echo,europe,silver,3.5,47.9,0.6
emre,europe,silver,6.8,47.5,0.2
freja,europe,silver,6.5,48.7,2.5
genji,europe,silver,7.8,52.6,6.8
hanzo,europe,silver,8.5,50.0,1.2
hazard,europe,silver,1.9,51.2,1.1
illari,europe,silver,5.7,48.5,0.1
jetpack-cat,europe,silver,6.9,52.7,38.1
junker-queen,europe,silver,3.0,51.4,0.3
junkrat,europe,silver,14.0,49.3,7.1
juno,europe,silver,20.8,50.8,0.4
kiriko,europe,silver,29.4,47.0,1.3
lifeweaver,europe,silver,11.7,48.4,0.3
lucio,europe,silver,6.3,50.2,0.6
mauga,europe,silver,6.1,49.3,30.2
mei,europe,silver,8.9,51.9,6.7
mercy,europe,silver,23.3,47.4,8.3
